timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1190284175;-1190304218;50;19031;1012;20000;18988;5.06;94.94;27
-1190264332;-1190284175;50;18988;855;20000;19145;4.275;95.725;28
-1190244451;-1190264332;50;19145;736;20000;19264;3.68;96.32;29
-1190224349;-1190244451;50;19264;838;20000;19162;4.19;95.81;30
-1190204451;-1190224349;50;19162;736;20000;19264;3.68;96.32;31
-1190184269;-1190204451;50;19264;918;20000;19082;4.59;95.41;32
-1190164364;-1190184269;50;19082;823;20000;19177;4.115;95.885;33
-1190144403;-1190164364;50;19177;784;20000;19216;3.92;96.08;34
-1190124336;-1190144403;50;19216;851;20000;19149;4.255;95.745;35
-1190104423;-1190124336;50;19149;764;20000;19236;3.82;96.18;36
-1190084444;-1190104423;50;19236;743;20000;19257;3.715;96.285;37
-1190064093;-1190084444;50;19257;1094;20000;18906;5.47;94.53;38
-1190044464;-1190064093;50;18906;723;20000;19277;3.615;96.385;39
-1190024343;-1190044464;50;19277;844;20000;19156;4.22;95.78;40
-1190004371;-1190024343;50;19156;816;20000;19184;4.08;95.92;41
-1189984318;-1190004371;50;19184;869;20000;19131;4.345;95.655;42
-1189962776;-1189984318;50;19131;2411;20000;17589;12.055;87.945;43
-1189944396;-1189962776;50;17589;791;20000;19209;3.955;96.045;44
-1189924341;-1189944396;50;19209;846;20000;19154;4.23;95.77;45
-1189904465;-1189924341;50;19154;722;20000;19278;3.61;96.39;46
-1189884469;-1189904465;50;19278;718;20000;19282;3.59;96.41;47
-1189864403;-1189884469;50;19282;784;20000;19216;3.92;96.08;48
-1189844441;-1189864403;50;19216;746;20000;19254;3.73;96.27;49
-1189824302;-1189844441;50;19254;885;20000;19115;4.425;95.575;0
-1189804335;-1189824302;50;19115;852;20000;19148;4.26;95.74;1
-1189784311;-1189804335;50;19148;876;20000;19124;4.38;95.62;2
-1189764413;-1189784311;50;19124;774;20000;19226;3.87;96.13;3
-1189744461;-1189764413;50;19226;726;20000;19274;3.63;96.37;4
-1189723514;-1189744461;50;19274;1673;20000;18327;8.365;91.635;5
-1189703940;-1189723514;50;18327;1247;20000;18753;6.235;93.765;6
-1189684163;-1189703940;50;18753;1024;20000;18976;5.12;94.88;7
-1189663886;-1189684163;50;18976;1301;20000;18699;6.505;93.495;8
-1189643557;-1189663886;50;18699;1630;20000;18370;8.15;91.85;9
-1189623867;-1189643557;50;18370;1320;20000;18680;6.6;93.4;10
-1189603687;-1189623867;50;18680;1500;20000;18500;7.5;92.5;11
-1189584224;-1189603687;50;18500;963;20000;19037;4.815;95.185;12
-1189563385;-1189584224;50;19037;1802;20000;18198;9.01;90.99;13
-1189544166;-1189563385;50;18198;1021;20000;18979;5.105;94.895;14
-1189523779;-1189544166;50;18979;1408;20000;18592;7.04;92.96;15
-1189504174;-1189523779;50;18592;1013;20000;18987;5.065;94.935;16
-1189484443;-1189504174;50;18987;744;20000;19256;3.72;96.28;17
-1189464463;-1189484443;50;19256;724;20000;19276;3.62;96.38;18
-1189444202;-1189464463;50;19276;985;20000;19015;4.925;95.075;19
-1189424385;-1189444202;50;19015;802;20000;19198;4.01;95.99;20
-1189404491;-1189424385;50;19198;696;20000;19304;3.48;96.52;21
-1189384470;-1189404491;50;19304;717;20000;19283;3.585;96.415;22
-1189364356;-1189384470;50;19283;831;20000;19169;4.155;95.845;23
-1189344434;-1189364356;50;19169;753;20000;19247;3.765;96.235;24
-1189324308;-1189344434;50;19247;879;20000;19121;4.395;95.605;25
-1189304396;-1189324308;50;19121;791;20000;19209;3.955;96.045;26
-1189284408;-1189304396;50;19209;779;20000;19221;3.895;96.105;27
-1189264446;-1189284408;50;19221;741;20000;19259;3.705;96.295;28
-1189244433;-1189264446;50;19259;754;20000;19246;3.77;96.23;29
-1189223869;-1189244433;50;19246;1318;20000;18682;6.59;93.41;30
-1189204385;-1189223869;50;18682;802;20000;19198;4.01;95.99;31
-1189184419;-1189204385;50;19198;768;20000;19232;3.84;96.16;32
-1189164292;-1189184419;50;19232;895;20000;19105;4.475;95.525;33
-1189144448;-1189164292;50;19105;739;20000;19261;3.695;96.305;34
-1189124458;-1189144448;50;19261;729;20000;19271;3.645;96.355;35
-1189104446;-1189124458;50;19271;741;20000;19259;3.705;96.295;36
-1189084419;-1189104446;50;19259;768;20000;19232;3.84;96.16;37
-1189064437;-1189084419;50;19232;750;20000;19250;3.75;96.25;38
-1189044459;-1189064437;50;19250;728;20000;19272;3.64;96.36;39
-1189023565;-1189044459;50;19272;1622;20000;18378;8.11;91.89;40
-1189004238;-1189023565;50;18378;949;20000;19051;4.745;95.255;41
-1188984260;-1189004238;50;19051;927;20000;19073;4.635;95.365;42
-1188963817;-1188984260;50;19073;1370;20000;18630;6.85;93.15;43
-1188944031;-1188963817;50;18630;1156;20000;18844;5.78;94.22;44
-1188923701;-1188944031;50;18844;1486;20000;18514;7.43;92.57;45
-1188904070;-1188923701;50;18514;1117;20000;18883;5.585;94.415;46
-1188884201;-1188904070;50;18883;986;20000;19014;4.93;95.07;47
-1188864385;-1188884201;50;19014;802;20000;19198;4.01;95.99;48
-1188844448;-1188864385;50;19198;739;20000;19261;3.695;96.305;49
-1188823931;-1188844448;50;19261;1256;20000;18744;6.28;93.72;0
-1188803219;-1188823931;50;18744;1968;20000;18032;9.84;90.16;1
-1188784018;-1188803219;50;18032;1169;20000;18831;5.845;94.155;2
-1188764044;-1188784018;50;18831;1143;20000;18857;5.715;94.285;3
-1188744032;-1188764044;50;18857;1155;20000;18845;5.775;94.225;4
-1188724056;-1188744032;50;18845;1131;20000;18869;5.655;94.345;5
-1188703731;-1188724056;50;18869;1456;20000;18544;7.28;92.72;6
-1188683301;-1188703731;50;18544;1886;20000;18114;9.43;90.57;7
-1188664077;-1188683301;50;18114;1110;20000;18890;5.55;94.45;8
-1188643704;-1188664077;50;18890;1483;20000;18517;7.415;92.585;9
-1188624038;-1188643704;50;18517;1149;20000;18851;5.745;94.255;10
-1188602552;-1188624038;50;18851;2635;20000;17365;13.175;86.825;11
-1188584026;-1188602552;50;17365;1161;20000;18839;5.805;94.195;12
-1188564463;-1188584026;50;18839;724;20000;19276;3.62;96.38;13
-1188544308;-1188564463;50;19276;879;20000;19121;4.395;95.605;14
-1188524454;-1188544308;50;19121;733;20000;19267;3.665;96.335;15
-1188504471;-1188524454;50;19267;716;20000;19284;3.58;96.42;16
-1188484396;-1188504471;50;19284;791;20000;19209;3.955;96.045;17
-1188464433;-1188484396;50;19209;754;20000;19246;3.77;96.23;18
-1188444460;-1188464433;50;19246;727;20000;19273;3.635;96.365;19
-1188424268;-1188444460;50;19273;919;20000;19081;4.595;95.405;20
-1188404429;-1188424268;50;19081;758;20000;19242;3.79;96.21;21
-1188384236;-1188404429;50;19242;951;20000;19049;4.755;95.245;22
-1188364085;-1188384236;50;19049;1102;20000;18898;5.51;94.49;23
-1188344138;-1188364085;50;18898;1049;20000;18951;5.245;94.755;24
-1188324243;-1188344138;50;18951;944;20000;19056;4.72;95.28;25
-1188304035;-1188324243;50;19056;1152;20000;18848;5.76;94.24;26
-1188283768;-1188304035;50;18848;1419;20000;18581;7.095;92.905;27
-1188264049;-1188283768;50;18581;1138;20000;18862;5.69;94.31;28
-1188244474;-1188264049;50;18862;713;20000;19287;3.565;96.435;29
-1188224214;-1188244474;50;19287;973;20000;19027;4.865;95.135;30
-1188204386;-1188224214;50;19027;801;20000;19199;4.005;95.995;31
-1188184463;-1188204386;50;19199;724;20000;19276;3.62;96.38;32
-1188164363;-1188184463;50;19276;824;20000;19176;4.12;95.88;33
-1188144166;-1188164363;50;19176;1021;20000;18979;5.105;94.895;34
-1188123622;-1188144166;50;18979;1565;20000;18435;7.825;92.175;35
-1188104240;-1188123622;50;18435;947;20000;19053;4.735;95.265;36
-1188084134;-1188104240;50;19053;1053;20000;18947;5.265;94.735;37
-1188064442;-1188084134;50;18947;745;20000;19255;3.725;96.275;38
-1188044483;-1188064442;50;19255;704;20000;19296;3.52;96.48;39
-1188024065;-1188044483;50;19296;1122;20000;18878;5.61;94.39;40
-1188004441;-1188024065;50;18878;746;20000;19254;3.73;96.27;41
-1187984395;-1188004441;50;19254;792;20000;19208;3.96;96.04;42
-1187964450;-1187984395;50;19208;737;20000;19263;3.685;96.315;43
-1187943452;-1187964450;50;19263;1735;20000;18265;8.675;91.325;44
-1187924030;-1187943452;50;18265;1157;20000;18843;5.785;94.215;45
-1187904088;-1187924030;50;18843;1099;20000;18901;5.495;94.505;46
-1187884272;-1187904088;50;18901;915;20000;19085;4.575;95.425;47
-1187864266;-1187884272;50;19085;921;20000;19079;4.605;95.395;48
-1187843912;-1187864266;50;19079;1275;20000;18725;6.375;93.625;49
-1187823455;-1187843912;50;18725;1732;20000;18268;8.66;91.34;0
-1187803800;-1187823455;50;18268;1387;20000;18613;6.935;93.065;1
-1187784181;-1187803800;50;18613;1006;20000;18994;5.03;94.97;2
-1187764007;-1187784181;50;18994;1180;20000;18820;5.9;94.1;3
-1187743792;-1187764007;50;18820;1395;20000;18605;6.975;93.025;4
-1187724222;-1187743792;50;18605;965;20000;19035;4.825;95.175;5
-1187703784;-1187724222;50;19035;1403;20000;18597;7.015;92.985;6
-1187684067;-1187703784;50;18597;1120;20000;18880;5.6;94.4;7
