-1204002184;-1204026980;40;23769;1027;25000;23973;4.108;95.892;39
-1203976561;-1204002184;40;23973;1650;25000;23350;6.6;93.4;0
-1203951958;-1203976561;40;23350;1253;25000;23747;5.012;94.988;1
-1203927283;-1203951958;40;23747;928;25000;24072;3.712;96.288;2
-1203902215;-1203927283;40;24072;996;25000;24004;3.984;96.016;3
-1203876913;-1203902215;40;24004;1298;25000;23702;5.192;94.808;4
-1203850567;-1203876913;40;23702;2644;25000;22356;10.576;89.424;5
-1203827160;-1203850567;40;22356;1051;25000;23949;4.204;95.796;6
-1203802152;-1203827160;40;23949;1059;25000;23941;4.236;95.764;7
-1203776803;-1203802152;40;23941;1408;25000;23592;5.632;94.368;8
-1203750472;-1203776803;40;23592;2739;25000;22261;10.956;89.044;9
-1203725394;-1203750472;40;22261;2817;25000;22183;11.268;88.732;10
-1203702243;-1203725394;40;22183;968;25000;24032;3.872;96.128;11
-1203675881;-1203702243;40;24032;2330;25000;22670;9.32;90.68;12
-1203651690;-1203675881;40;22670;1521;25000;23479;6.084;93.916;13
-1203626755;-1203651690;40;23479;1456;25000;23544;5.824;94.176;14
-1203602313;-1203626755;40;23544;898;25000;24102;3.592;96.408;15
-1203576689;-1203602313;40;24102;1522;25000;23478;6.088;93.912;16
-1203552271;-1203576689;40;23478;940;25000;24060;3.76;96.24;17
-1203527289;-1203552271;40;24060;922;25000;24078;3.688;96.312;18
-1203502282;-1203527289;40;24078;929;25000;24071;3.716;96.284;19
-1203476844;-1203502282;40;24071;1367;25000;23633;5.468;94.532;20
-1203452304;-1203476844;40;23633;907;25000;24093;3.628;96.372;21
-1203427272;-1203452304;40;24093;939;25000;24061;3.756;96.244;22
-1203402260;-1203427272;40;24061;951;25000;24049;3.804;96.196;23
-1203376804;-1203402260;40;24049;1407;25000;23593;5.628;94.372;24
-1203352174;-1203376804;40;23593;1037;25000;23963;4.148;95.852;25
-1203327286;-1203352174;40;23963;925;25000;24075;3.7;96.3;26
-1203302272;-1203327286;40;24075;939;25000;24061;3.756;96.244;27
-1203277292;-1203302272;40;24061;919;25000;24081;3.676;96.324;28
-1203252369;-1203277292;40;24081;842;25000;24158;3.368;96.632;29
-1203226583;-1203252369;40;24158;1628;25000;23372;6.512;93.488;30
-1203202324;-1203226583;40;23372;887;25000;24113;3.548;96.452;31
-1203177272;-1203202324;40;24113;939;25000;24061;3.756;96.244;32
-1203152264;-1203177272;40;24061;947;25000;24053;3.788;96.212;33
-1203127199;-1203152264;40;24053;1012;25000;23988;4.048;95.952;34
-1203102303;-1203127199;40;23988;908;25000;24092;3.632;96.368;35
-1203077123;-1203102303;40;24092;1088;25000;23912;4.352;95.648;36
-1203052353;-1203077123;40;23912;858;25000;24142;3.432;96.568;37
-1203027120;-1203052353;40;24142;1091;25000;23909;4.364;95.636;38
-1203002196;-1203027120;40;23909;1015;25000;23985;4.06;95.94;39
-1202976526;-1203002196;40;23985;1685;25000;23315;6.74;93.26;0
-1202952093;-1202976526;40;23315;1118;25000;23882;4.472;95.528;1
-1202927289;-1202952093;40;23882;922;25000;24078;3.688;96.312;2
-1202902224;-1202927289;40;24078;987;25000;24013;3.948;96.052;3
-1202876807;-1202902224;40;24013;1404;25000;23596;5.616;94.384;4
-1202851582;-1202876807;40;23596;1629;25000;23371;6.516;93.484;5
-1202826965;-1202851582;40;23371;1246;25000;23754;4.984;95.016;6
-1202802129;-1202826965;40;23754;1082;25000;23918;4.328;95.672;7
-1202776695;-1202802129;40;23918;1516;25000;23484;6.064;93.936;8
-1202752299;-1202776695;40;23484;912;25000;24088;3.648;96.352;9
-1202727283;-1202752299;40;24088;928;25000;24072;3.712;96.288;10
-1202702267;-1202727283;40;24072;944;25000;24056;3.776;96.224;11
-1202676958;-1202702267;40;24056;1253;25000;23747;5.012;94.988;12
-1202651915;-1202676958;40;23747;1296;25000;23704;5.184;94.816;13
-1202627259;-1202651915;40;23704;952;25000;24048;3.808;96.192;14
-1202602284;-1202627259;40;24048;927;25000;24073;3.708;96.292;15
-1202577097;-1202602284;40;24073;1114;25000;23886;4.456;95.544;16
-1202552363;-1202577097;40;23886;848;25000;24152;3.392;96.608;17
-1202527191;-1202552363;40;24152;1020;25000;23980;4.08;95.92;18
-1202502143;-1202527191;40;23980;1068;25000;23932;4.272;95.728;19
-1202476962;-1202502143;40;23932;1249;25000;23751;4.996;95.004;20
-1202452213;-1202476962;40;23751;998;25000;24002;3.992;96.008;21
-1202427189;-1202452213;40;24002;1022;25000;23978;4.088;95.912;22
-1202402178;-1202427189;40;23978;1033;25000;23967;4.132;95.868;23
-1202377165;-1202402178;40;23967;1046;25000;23954;4.184;95.816;24
-1202352257;-1202377165;40;23954;954;25000;24046;3.816;96.184;25
-1202327204;-1202352257;40;24046;1007;25000;23993;4.028;95.972;26
-1202302114;-1202327204;40;23993;1097;25000;23903;4.388;95.612;27
-1202276536;-1202302114;40;23903;1675;25000;23325;6.7;93.3;28
-1202251995;-1202276536;40;23325;1216;25000;23784;4.864;95.136;29
-1202227181;-1202251995;40;23784;1030;25000;23970;4.12;95.88;30
-1202202218;-1202227181;40;23970;993;25000;24007;3.972;96.028;31
-1202177290;-1202202218;40;24007;921;25000;24079;3.684;96.316;32
-1202152306;-1202177290;40;24079;905;25000;24095;3.62;96.38;33
-1202126923;-1202152306;40;24095;1288;25000;23712;5.152;94.848;34
-1202102276;-1202126923;40;23712;935;25000;24065;3.74;96.26;35
-1202077148;-1202102276;40;24065;1063;25000;23937;4.252;95.748;36
-1202052268;-1202077148;40;23937;943;25000;24057;3.772;96.228;37
-1202026967;-1202052268;40;24057;1244;25000;23756;4.976;95.024;38
-1202002265;-1202026967;40;23756;946;25000;24054;3.784;96.216;39
-1201977238;-1202002265;40;24054;973;25000;24027;3.892;96.108;0
-1201952146;-1201977238;40;24027;1065;25000;23935;4.26;95.74;1
-1201927178;-1201952146;40;23935;1033;25000;23967;4.132;95.868;2
-1201902180;-1201927178;40;23967;1031;25000;23969;4.124;95.876;3
-1201876547;-1201902180;40;23969;1664;25000;23336;6.656;93.344;4
-1201852182;-1201876547;40;23336;1029;25000;23971;4.116;95.884;5
-1201827186;-1201852182;40;23971;1025;25000;23975;4.1;95.9;6
-1201802194;-1201827186;40;23975;1017;25000;23983;4.068;95.932;7
-1201777265;-1201802194;40;23983;946;25000;24054;3.784;96.216;8
-1201752293;-1201777265;40;24054;918;25000;24082;3.672;96.328;9
-1201727290;-1201752293;40;24082;921;25000;24079;3.684;96.316;10
-1201702216;-1201727290;40;24079;995;25000;24005;3.98;96.02;11
-1201677173;-1201702216;40;24005;1038;25000;23962;4.152;95.848;12
-1201652305;-1201677173;40;23962;906;25000;24094;3.624;96.376;13
-1201627206;-1201652305;40;24094;1005;25000;23995;4.02;95.98;14
-1201602246;-1201627206;40;23995;965;25000;24035;3.86;96.14;15
-1201577293;-1201602246;40;24035;918;25000;24082;3.672;96.328;16
-1201552251;-1201577293;40;24082;960;25000;24040;3.84;96.16;17
-1201527291;-1201552251;40;24040;920;25000;24080;3.68;96.32;18
-1201502171;-1201527291;40;24080;1040;25000;23960;4.16;95.84;19
-1201477146;-1201502171;40;23960;1065;25000;23935;4.26;95.74;20
-1201452190;-1201477146;40;23935;1021;25000;23979;4.084;95.916;21
-1201427186;-1201452190;40;23979;1025;25000;23975;4.1;95.9;22
-1201402156;-1201427186;40;23975;1055;25000;23945;4.22;95.78;23
-1201377143;-1201402156;40;23945;1068;25000;23932;4.272;95.728;24
-1201352199;-1201377143;40;23932;1012;25000;23988;4.048;95.952;25
-1201327179;-1201352199;40;23988;1032;25000;23968;4.128;95.872;26
-1201302159;-1201327179;40;23968;1052;25000;23948;4.208;95.792;27
-1201277116;-1201302159;40;23948;1095;25000;23905;4.38;95.62;28
-1201252200;-1201277116;40;23905;1011;25000;23989;4.044;95.956;29
-1201227177;-1201252200;40;23989;1034;25000;23966;4.136;95.864;30
-1201202154;-1201227177;40;23966;1057;25000;23943;4.228;95.772;31
-1201177167;-1201202154;40;23943;1044;25000;23956;4.176;95.824;32
-1201152107;-1201177167;40;23956;1104;25000;23896;4.416;95.584;33
-1201127215;-1201152107;40;23896;996;25000;24004;3.984;96.016;34
-1201102157;-1201127215;40;24004;1054;25000;23946;4.216;95.784;35
-1201077061;-1201102157;40;23946;1150;25000;23850;4.6;95.4;36
-1201052182;-1201077061;40;23850;1029;25000;23971;4.116;95.884;37
-1201027224;-1201052182;40;23971;987;25000;24013;3.948;96.052;38
-1201002060;-1201027224;40;24013;1151;25000;23849;4.604;95.396;39
-1200977128;-1201002060;40;23849;1083;25000;23917;4.332;95.668;0
-1200952069;-1200977128;40;23917;1142;25000;23858;4.568;95.432;1
-1200927280;-1200952069;40;23858;931;25000;24069;3.724;96.276;2
-1200902264;-1200927280;40;24069;947;25000;24053;3.788;96.212;3
-1200877207;-1200902264;40;24053;1004;25000;23996;4.016;95.984;4
-1200852193;-1200877207;40;23996;1018;25000;23982;4.072;95.928;5
-1200827171;-1200852193;40;23982;1040;25000;23960;4.16;95.84;6
-1200802115;-1200827171;40;23960;1096;25000;23904;4.384;95.616;7
-1200777176;-1200802115;40;23904;1035;25000;23965;4.14;95.86;8
-1200752230;-1200777176;40;23965;981;25000;24019;3.924;96.076;9
-1200727169;-1200752230;40;24019;1042;25000;23958;4.168;95.832;10
-1200702198;-1200727169;40;23958;1013;25000;23987;4.052;95.948;11
-1200677156;-1200702198;40;23987;1055;25000;23945;4.22;95.78;12
-1200652176;-1200677156;40;23945;1035;25000;23965;4.14;95.86;13
-1200627168;-1200652176;40;23965;1043;25000;23957;4.172;95.828;14
-1200602080;-1200627168;40;23957;1131;25000;23869;4.524;95.476;15
-1200576618;-1200602080;40;23869;1593;25000;23407;6.372;93.628;16
-1200552164;-1200576618;40;23407;1047;25000;23953;4.188;95.812;17
-1200527170;-1200552164;40;23953;1041;25000;23959;4.164;95.836;18
-1200502156;-1200527170;40;23959;1055;25000;23945;4.22;95.78;19
-1200477171;-1200502156;40;23945;1040;25000;23960;4.16;95.84;20
-1200452232;-1200477171;40;23960;979;25000;24021;3.916;96.084;21
-1200427177;-1200452232;40;24021;1034;25000;23966;4.136;95.864;22
-1200402144;-1200427177;40;23966;1067;25000;23933;4.268;95.732;23
-1200377187;-1200402144;40;23933;1024;25000;23976;4.096;95.904;24
